"State","County","Worst.Crime.Display","Crime.Category","Year.of.Crime","Year.of.1st.Conviction"
"North Carolina","Forsyth","Child Sex Abuse","Misconduct",1991,1995
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"New York","Erie","Sexual Assault","Misconduct",1982,1983
"Illinois","Cook","Murder","Misconduct",1984,1987
"New York","New York","Robbery","Misconduct",2005,2006
"Illinois","Cook","Murder","Misconduct",1999,2004
"California","Santa Clara","Sex Offender Registration","Nonviolent felony",1994,1994
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"Massachusetts","Essex","Theft","Misdemeanor",1989,1989
"Texas","Dallas","Sexual Assault","Misconduct",1992,1992
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Pennsylvania","Philadelphia","Murder","Misconduct",1990,1992
"Wisconsin","Jefferson","Sexual Assault","Misconduct",1998,2000
"Georgia","Carroll","Murder","Misconduct",2004,2005
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2009
"Illinois","Cook","Murder","Misconduct",1978,1978
"Massachusetts","Suffolk","Murder","Misconduct",1972,1974
"Texas","Dallas","Murder","Misconduct",1976,1977
"Louisiana","Orleans","Murder","Misconduct",1979,1983
"New York","Monroe","Menacing","Violent felony",1997,1998
"Connecticut","New Haven","Murder","Misconduct",1996,1999
"Illinois","Cook","Assault","Misconduct",2004,2006
"Illinois","Cook","Assault","Misconduct",2004,2006
"Maryland","Baltimore City","Murder","Misconduct",1996,1998
"Illinois","Lake","Robbery","Misconduct",1988,1988
"Illinois","Cook","Murder","Misconduct",1997,1999
"Florida","Seminole","Murder","Misconduct",2004,2006
"Michigan","Wayne","Murder","Misconduct",2001,2002
"Pennsylvania","Centre","Weapon Possession or Sale","Misdemeanor",2015,2015
"Ohio","Cuyahoga","Murder","Misconduct",1975,1975
"New York","Kings","Attempt, Violent","Misconduct",2000,2001
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2010,2010
"California","Santa Barbara","Murder","Misconduct",1986,1987
"Texas","Harris","Murder","Misconduct",1982,1982
"Massachusetts","Norfolk  ","Theft","Misdemeanor",2003,2005
"Ohio","Montgomery","Child Sex Abuse","Misconduct",1984,1985
"Florida","Miami-Dade","Other Violent Misdemeanor","Misdemeanor",2016,2019
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Texas","Uvalde","Sexual Assault","Misconduct",1990,1990
"Michigan","Ingham","Child Sex Abuse","Misconduct",2013,2015
"Mississippi","Panola","Murder","Misconduct",1987,1989
"Louisiana","Jefferson","Sexual Assault","Misconduct",1979,1980
"Indiana","St. Joseph","Sexual Assault","Misconduct",1996,1998
"Michigan","Ingham","Murder","Misconduct",2011,2016
"New York","Bronx","Child Sex Abuse","Misconduct",1984,1985
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2007
"Texas","Dallas","Murder","Misconduct",1983,1983
"Indiana","St. Joseph","Murder","Misconduct",1990,2002
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Ohio","Hamilton","Kidnapping","Misconduct",2005,2005
"Texas","Dallas","Murder","Misconduct",1999,2000
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"North Carolina","Durham","Murder","Misconduct",1998,1999
"Washington","Cowlitz","Murder","Misconduct",2000,2002
"Maryland","Baltimore City","Assault","Misconduct",1999,2000
"Illinois","Cook","Murder","Misconduct",1984,1987
"Ohio","Lorain","Child Sex Abuse","Misconduct",1993,1994
"Missouri","Cole","Murder","Misconduct",1982,1983
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Washington","Thurston","Weapon Possession or Sale","Misdemeanor",2007,2008
"Illinois","Cook","Murder","Misconduct",1986,1990
"Illinois","Cook","Murder","Misconduct",1994,1995
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Texas","Dallas","Murder","Misconduct",2001,2003
"Minnesota","Washington","Sexual Assault","Misconduct",2006,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2010,2012
"Texas","Cameron","Assault","Misconduct",2005,2006
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"California","Orange","Murder","Misconduct",1998,2012
"California","Los Angeles","Robbery","Misconduct",1994,1995
"Fed-DC",NA,"Bribery","Nonviolent felony",2010,2011
"Wisconsin","Rock","Murder","Misconduct",1986,1987
"Texas","Harris","Assault","Misconduct",1998,1998
"Missouri","Oregon","Murder","Misconduct",2008,2011
"Arizona","Cochise","Assault","Misconduct",2005,2006
"Illinois","DuPage","Murder","Misconduct",1995,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Missouri","Cole","Murder","Misconduct",1985,1986
"Illinois","Cook","Murder","Misconduct",1980,1982
"Texas","Van Zandt","Manslaughter","Misconduct",2004,2007
"Pennsylvania","Venango","Sexual Assault","Misconduct",2000,2001
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Michigan","Wayne","Robbery","Misconduct",2010,2010
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"New York","Bronx","Burglary/Unlawful Entry","Misdemeanor",1985,1990
"Washington","Pierce","Robbery","Misconduct",2004,2005
"Hawaii","Maui","Other Violent Felony","Misconduct",2010,2011
"Virginia","Hanover","Sexual Assault","Misconduct",1982,1982
"Mississippi","Hinds","Assault","Misconduct",1992,1997
"Illinois","Winnebago","Murder","Misconduct",2002,2002
"Illinois","Cook","Murder","Misconduct",1994,1996
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1997,1997
