"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"Life",14,14,2009,2009,2011
"Probation",0,13,2008,2022,2022
"20 to Life",16,16,1999,1999,2011
"Life without parole",28,28,2015,2015,2015
"20 to Life",5,5,2012,2012,2019
"90 years",17,17,2022,2022,2022
"2 years and 4 months",9,11,2004,2006,2011
"12 years",5,5,2001,2001,2012
"Probation",0,4,1989,1993,2014
"25 years",21,24,2014,2017,2017
"1 year",0,15,2004,2020,2020
"Life",18,18,2011,2011,2012
"28 years",6,6,2007,2007,2011
"1 year",0,0,2006,2006,2011
"90 days",0,7,2009,2016,2016
"75 years",17,17,1996,1996,2011
"Death",30,30,2004,2004,2011
"Death",11,11,1989,1989,2011
"Life without parole",30,30,2014,2014,2014
"Not sentenced",0,0,1998,1999,2013
"Life",13,13,2013,2013,2013
"Probation",0,0,2006,2006,2014
"Probation",0,0,2006,2006,2014
"30 years",7,7,2005,2005,2011
"30 years",13,13,2001,2001,2018
"55 years",3,3,2002,2003,2011
"Death",12,12,2018,2018,2018
"44 to 60 years",16,16,2018,2018,2018
"3 to 6 years",4,4,2020,2020,2020
"Death",27,39,2003,2014,2014
"21 years",17,20,2018,2021,2021
"45 days",0,5,2010,2016,2016
"26 to life",24,29,2012,2016,2016
"Death",14,14,1997,1997,2011
"5 to 7 1/2 years",1,1,2006,2006,2016
"Life",11,12,1996,1997,2011
"Probation",0,2,2019,2022,2022
"Probation",0,8,2011,2020,2020
"12 years",3,3,1994,1994,2011
"Not sentenced",0,2,2015,2017,2017
"Life",5,20,1995,2010,2011
"Life without parole",37,37,2018,2018,2018
"70 years",3,3,2001,2001,2011
"32 years five months to 62 years five months",3,3,2020,2020,2021
"25 to 50 years",4,4,1990,1990,2012
"1 year",0,13,2007,2020,2020
"99 years",25,27,2009,2011,2012
"144 years",2,4,2004,2006,2016
"Probation",0,14,2007,2022,2022
"Probation",0,14,2007,2022,2022
"Not sentenced",0,0,2005,2005,2011
"Life",14,18,2014,2019,2019
"18 years",3,3,2003,2003,2022
"43 3/4 to 54 years",11,17,2010,2016,2021
"Life without parole",13,13,2015,2015,2015
"Probation",0,2,2000,2003,2016
"Life without parole",0,34,1987,2021,2021
"Life",22,27,2017,2022,2022
"95 years",29,29,2012,2013,2013
"Probation",0,14,2004,2018,2018
"2 years and 6 months",1,4,2009,2012,2017
"Life without parole",32,32,2022,2022,2022
"Life without parole",21,21,2017,2017,2017
"2 years",1,12,2008,2018,2018
"3 years",1,13,2009,2021,2021
"Life",15,16,2018,2019,2019
"4 years",1,2,2009,2010,2014
"6 years",0,0,2013,2013,2013
"8 years",4,4,2010,2010,2017
"12 years",5,5,2001,2001,2012
"12 years",5,5,2001,2001,2012
"25 to life",9,9,2022,2022,2022
"14 years",6,6,2002,2002,2014
"Not sentenced",0,1,2011,2012,2014
"Life",1,1,1989,1989,2012
"15 years",8,9,2006,2007,2011
"Life",5,5,2016,2016,2016
"7 years and 6 months",5,5,2012,2012,2015
"45 years",19,20,2017,2018,2018
"4 months",0,7,2009,2016,2016
"Death",16,16,2003,2003,2011
"55 years",25,33,2007,2015,2015
"Probation",0,7,2007,2014,2015
"5 to 15 years",0,10,2001,2011,2014
"1 year and 6 months",0,17,2005,2022,2022
"15 to 22 years",8,8,2019,2019,2019
"Probation",0,17,2004,2022,2022
"Not sentenced",0,0,1990,1990,2014
"17 years",3,3,2008,2009,2011
"9 days",0,3,2011,2014,2014
"Life",14,19,1997,2002,2011
"15 years",7,9,2004,2007,2011
"50 years",10,13,2013,2015,2015
"60 years",25,25,2022,2022,2022
"10 years",2,2,2000,2000,2020
"25 to Life",3,5,1992,1994,2014
"Life",45,46,2020,2021,2021
"Life",22,22,2007,2008,2012
"16 2/3 to 50 years",24,24,2019,2019,2020
"Not sentenced",0,2,2014,2017,2017
"Life without parole",5,5,2019,2019,2019
"Life without parole",16,16,2011,2011,2012
"40 years",3,3,2015,2015,2015
"Life without parole",23,23,2021,2021,2021
"6 3/4 to Life",6,6,2016,2016,2016
"10 to 25 years",3,4,1995,1996,2018
"Not sentenced",0,0,2013,2013,2013
"Life",3,3,2016,2016,2018
"99 years",28,29,2013,2013,2013
"1 year",0,12,2005,2018,2019
"3 years",1,3,2013,2016,2019
"4 days",0,1,2014,2015,2015
"Life",16,17,2012,2013,2013
"Life",28,28,2009,2009,2011
"14 to 30 years",5,5,2011,2012,2012
"25 years",6,6,2020,2020,2020
"25 years",15,15,2010,2010,2011
"20 to Life",16,16,2019,2019,2019
"Life without parole",8,8,1991,1991,2011
"116 days",0,0,2016,2016,2017
"Probation",0,0,2014,2015,2015
"Probation",0,4,2012,2016,2016
"90 years",12,12,2013,2013,2013
"Life",28,29,2019,2021,2021
"Life",16,16,2022,2022,2022
"45 years and 8 months",11,11,2000,2000,2011
"10 years",4,4,2008,2008,2013
"32 to Life",19,19,2007,2007,2011
"28 to life",0,7,1990,1998,2012
"2 to 4 years",0,0,2017,2017,2017
"20 years",1,1,2019,2019,2019
"Life",17,47,1989,2020,2023
"18 to life",12,25,2000,2014,2014
"4 years",1,2,2019,2021,2021
"Life",26,26,2001,2002,2011
"20 to 50 years",8,10,2008,2010,2012
"32 years",17,17,2003,2003,2011
"40 years",5,5,2010,2010,2011
"16 to 18 years",8,8,1997,1997,2012
"3 years",5,5,2013,2013,2013
"Life without parole",41,41,2023,2023,2023
"Life without parole",10,10,2011,2011,2012
"25 to life",15,15,2012,2012,2012
"25 to life",0,16,1997,2013,2013
"14 to 50 years",8,8,1990,1990,2011
"Life",19,55,1985,2021,2021
"8 1/3 to 25 years",2,2,1992,1992,2011
"48 years",5,5,2020,2020,2021
"2 months",0,2,2002,2004,2011
